Website Primary SKU,Website Variation SKU,Till SKU (8 digit),Name,Long Description,Colour/Style,Colour - for filtering,Dimensions  H x W x D (mm),Additional Search Keywords,Cost Price,Selling Price,Stock,VAT,Matches,Inactive,Weight,Category,Attributes,Sub Category,Category 2,Sub Category 2,Manufacturer,Gift Finder,,
10005,101,10005101,Jubilee,"Crossbody or Clutch - you decide, the clip off  lightweight leather strap gives you both options. Concealed expanding snap - that will hinge open easily - removable neat  shoulder strap that is fully adjustable . Leather, unlined. Adjustable strap 750 - 1400 mm.",Purple,Mauve,210 x 220 x 60,"Purse, Clutch, Cosmetic Bag",26,62.5,,S,,,206,Accessories,,Bags & Purses,,,Owen Barry,For Her,,
10006,100,10006100,Z-Top,"Best selling asymmetrical cross body bag with deep back pocket and ingeniously placed detachable straps - offering security and style. Magdot plus flapover closure, inside pockets, detachable strap.Neat enough to be worn under a jacket. Leather, unlined. Handle drop 610mm",Alamo,Brown,"230 at fold, 360 to point x 210 wide","Shoulderbag,Handbag, Purse",26,62.5,,S,,,311,Accessories,,Bags & Purses,,,Owen Barry,For Her,,
10006,101,10006101,Z-Top,"Best selling asymmetrical cross body bag with deep back pocket and ingeniously placed detachable straps - offering security and style. Magdot plus flapover closure, inside pockets, detachable strap.Neat enough to be worn under a jacket. Leather, unlined. Handle drop 610mm",Havanna,Brown,"231 at fold, 360 to point x 210 wide","Shoulderbag,Handbag, Purse",26,62.5,,S,,,311,Accessories,,Bags & Purses,,,Owen Barry,For Her,,
10006,102,10006102,Z-Top,"Best selling asymmetrical cross body bag with deep back pocket and ingeniously placed detachable straps - offering security and style. Magdot plus flapover closure, inside pockets, detachable strap.Neat enough to be worn under a jacket. Leather, unlined. Handle drop 610mm",Latte,Brown,"231 at fold, 360 to point x 210 wide","Shoulderbag,Handbag, Purse",26,62.5,,S,,,311,Accessories,,Bags & Purses,,,Owen Barry,For Her,,
10007,100,10007100,Coin Purse 2,Ideal handbag tidy for loose change or to keep those special/secret things safe - great gift for any age. Chrome plated clasp - unlined. Finished Skin,Acido,Silver,150 x 110 x 60,"Purse, Clutch, Cosmetic Bag",12,28.95,,S,,,100,Accessories,,Bags & Purses,,,Owen Barry,For Her,,
10007,101,10007101,Coin Purse 2,Ideal handbag tidy for loose change or to keep those special/secret things safe - great gift for any age. Chrome plated clasp - unlined. Finished Skin,Hibiscus,Pink,150 x 110 x 60,"Purse, Clutch, Cosmetic Bag",12,28.95,,S,,,,Accessories,,Bags & Purses,,,Owen Barry,For Her,,
10007,102,10007102,Coin Purse 2,Ideal handbag tidy for loose change or to keep those special/secret things safe - great gift for any age. Chrome plated clasp - unlined. Finished Skin,Zebrini,Stripe,150 x 110 x 60,"Purse, Clutch, Cosmetic Bag",12,28.95,,S,,,,Accessories,,Bags & Purses,,,Owen Barry,For Her,,
10008,100,10008100,Francine,"Utility matched with flair, make this asymmetrical head turning bag a must have. Magdot centre fastening plus flapover closure, deep back pocket plus inside pockets, detachable leather strap. Softest Leather. Handle drop 620mm.",Solaris Brown,Brown,"340 at fold, 470 to point x 300 wide","Shoulderbag,Handbag, Purse",40,96,,S,,,,Accessories,,Bags & Purses,,,Owen Barry,For Her,,
10009,100,10009100,Circle Pendant,Porcelain pendant. Individually made by hand. Decorated with glazes and precious metals in multiple firings. Porcelain is very light and comfortable to wear. Supplied complete with a 45cm rubber cord with secure steel fastener. No two pieces are alike. Circle piece.,"Red Glaze, Brown & Gold Lustre",Red,60mm diameter,"Necklace, Jewellery, ",15,36,,S,,,39,Jewellery,Fashion/Art,Necklaces,,,Gill Laverick,For Her,,
10009,101,10009101,Circle Pendant,Porcelain pendant. Individually made by hand. Decorated with glazes and precious metals in multiple firings. Porcelain is very light and comfortable to wear. Supplied complete with a 45cm rubber cord with secure steel fastener. No two pieces are alike. Circle piece.,"Blue Glaze, Purple & Silver Lustre",Blue,60mm diameter,"Necklace, Jewellery, ",15,36,,S,,,39,Jewellery,Fashion/Art,Necklaces,,,Gill Laverick,For Her,,
10009,102,10009102,Circle Pendant,Porcelain pendant. Individually made by hand. Decorated with glazes and precious metals in multiple firings. Porcelain is very light and comfortable to wear. Supplied complete with a 45cm rubber cord with secure steel fastener. No two pieces are alike. Circle piece.,"Lime Glaze, Brown & Gold Lustre",Green,60mm diameter,"Necklace, Jewellery, ",15,36,,S,,,39,Jewellery,Fashion/Art,Necklaces,,,Gill Laverick,For Her,,
10010,100,10010100,Semi Circle Pendant,Porcelain pendant. Individually made by hand. Decorated with glazes and precious metals in multiple firings. Porclain is very light and comfortable to wear. Supplied complete with a 45cm rubber cord with secure steel fastener. No two pieces are alike. A semi circle piece.,"Red Glaze, Brown & Gold Lustre",Red,30 x 65,"Necklace, Jewellery, ",15,36,,S,,,31,Jewellery,Fashion/Art,Necklaces,,,Gill Laverick,For Her,,
10010,101,10010101,Semi Circle Pendant,Porcelain pendant. Individually made by hand. Decorated with glazes and precious metals in multiple firings. Porclain is very light and comfortable to wear. Supplied complete with a 45cm rubber cord with secure steel fastener. No two pieces are alike. A semi circle piece.,"Blue Glaze, Purple & Silver Lustre",Blue,30 x 65,"Necklace, Jewellery, ",15,36,,S,,,31,Jewellery,Fashion/Art,Necklaces,,,Gill Laverick,For Her,,
